case,source,step,input_file,layer,pt_shape,onnx_shape,shape_match,mean_abs_diff,max_abs_diff,rmse,l2_diff,rel_l2,nrmse_rms,cosine_similarity,pt_mean,onnx_mean,pt_std,onnx_std
deploy_step0,deploy,0,/home/sail/Lite3/rl_training_new/lite3_debug/deploy/debug_cpp_step0.txt,input.obs_flat,"[1, 4797]","[1, 4797]",True,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999913,0.006492734335504687,0.006492734335504687,0.15446089316804743,0.15446089316804743
deploy_step0,deploy,0,/home/sail/Lite3/rl_training_new/lite3_debug/deploy/debug_cpp_step0.txt,split.obs,"[1, 117]","[1, 117]",True,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999826,0.13310105387784607,0.13310105387784607,0.6871977396381379,0.6871977396381379
deploy_step0,deploy,0,/home/sail/Lite3/rl_training_new/lite3_debug/deploy/debug_cpp_step0.txt,split.obs_hist,"[1, 4680]","[1, 4680]",True,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999827,0.0033275263469461523,0.0033275263469461523,0.11062478549624112,0.11062478549624112
deploy_step0,deploy,0,/home/sail/Lite3/rl_training_new/lite3_debug/deploy/debug_cpp_step0.txt,adaptation_module.0,"[1, 256]","[1, 256]",True,2.575034159235656e-07,3.814697265625e-06,6.407206682039702e-07,1.0251530691263523e-05,1.240633474541229e-07,1.240633474541229e-07,0.9999999999999925,-0.8335283102205722,-0.8335282860134612,5.096755537757182,5.096755432660763
deploy_step0,deploy,0,/home/sail/Lite3/rl_training_new/lite3_debug/deploy/debug_cpp_step0.txt,adaptation_module.1,"[1, 256]","[1, 256]",True,1.4729812392033637e-07,3.814697265625e-06,5.205153382854527e-07,8.328245412567244e-06,1.434089023738443e-07,1.434089023738443e-07,0.9999999999999895,0.29237215302782715,0.29237216818728484,3.617793940646042,3.617793944691552
deploy_step0,deploy,0,/home/sail/Lite3/rl_training_new/lite3_debug/deploy/debug_cpp_step0.txt,adaptation_module.2,"[1, 32]","[1, 32]",True,1.8528662621974945e-06,1.1444091796875e-05,2.971344646582043e-06,1.6808463590724066e-05,2.5046005409398605e-07,2.50460054093986e-07,0.9999999999999709,-5.8451809315010905,-5.845180527772754,10.323643227975435,10.323642448268448
deploy_step0,deploy,0,/home/sail/Lite3/rl_training_new/lite3_debug/deploy/debug_cpp_step0.txt,adaptation_module.3,"[1, 32]","[1, 32]",True,4.0302984416484833e-07,3.814697265625e-06,1.0075111146475043e-06,5.69934353030454e-06,3.0921169357577123e-07,3.0921169357577123e-07,0.9999999999999722,0.6854753161314875,0.6854755887761712,3.1854014978530514,3.1854021566632977
deploy_step0,deploy,0,/home/sail/Lite3/rl_training_new/lite3_debug/deploy/debug_cpp_step0.txt,adaptation_module.4,"[1, 18]","[1, 18]",True,1.2169281641642252e-07,2.980232238769531e-07,1.556915841366597e-07,6.605434495002478e-07,2.034954867298317e-07,2.0349548672983172e-07,0.9999999999998845,-0.03311157847444216,-0.0331115759909153,0.7643693366389134,0.7643693398409732
deploy_step0,deploy,0,/home/sail/Lite3/rl_training_new/lite3_debug/deploy/debug_cpp_step0.txt,concat.obs_latent,"[1, 135]","[1, 135]",True,1.6225708855523002e-08,2.980232238769531e-07,5.685052843024133e-08,6.605434495002478e-07,8.018444867765736e-08,8.018444867765739e-08,0.999999999999982,0.11093936956420765,0.11093936989534457,0.7002636015029995,0.7002636019009072
deploy_step0,deploy,0,/home/sail/Lite3/rl_training_new/lite3_debug/deploy/debug_cpp_step0.txt,actor.0,"[1, 512]","[1, 512]",True,9.559153113514185e-08,7.152557373046875e-07,1.316087441696879e-07,2.9779659349066183e-06,2.462572945224229e-07,2.462572945224229e-07,0.9999999999999627,0.04879524795433099,0.04879525597971224,0.5322036998782708,0.5322037055461278
